Event Type,Start,Duration,Source,Ounces,Size,Quality,Comment
Food,2021-07-22 4:23 AM,0h 5m,Right,,,,
Sleep,2021-07-22 4:30 AM,1h 50m,,,,,
Food,2021-07-22 6:20 AM,0h 13m,Right,,,,
Sleep,2021-07-22 6:40 AM,1h 20m,,,,Poor,Restless
Food,2021-07-22 8:06 AM,0h 5m,Left,,,,
Sleep,2021-07-22 9:33 AM,0h 32m,,,,,
Food,2021-07-22 10:23 AM,0h 4m,Left,,,,
Potty,2021-07-22 10:31 AM,,,,Big,,
,,,,,,,
Food,2021-07-22 11:17 AM,0h 5m,Right,,,,
Food,2021-07-22 1:30 PM,0h 10m,Bottle,1.0,,,
Food,2021-07-22 2:42 PM,0h 9m,Bottle,1.0,,,
Sleep,2021-07-22 3:30 PM,0h 42m,,,,,
Food,2021-07-22 4:19 PM,0h 9m,Left,,,,
Food,2021-07-22 4:37 PM,0h 9m,Right,,,,
Sleep,2021-07-22 5:50 PM,0h 40m,,,,,
Sleep,2021-07-22 6:39 PM,0h 27m,,,,,
Food,2021-07-22 7:06 PM,0h 6m,Left,,,,
Food,2021-07-22 7:29 PM,0h 4m,Left,,,,
Sleep,2021-07-22 8:30 PM,0h 16m,,,,,
Food,2021-07-22 8:46 PM,0h 9m,Right,,,,
Food,2021-07-22 9:40 PM,0h 7m,Left,,,,
Food,2021-07-22 9:58 PM,0h 6m,Left,,,,
Food,2021-07-23 12:42 AM,0h 10m,Right,,,,
Sleep,2021-07-22 10:00 PM,2h 40m,,,,,
Sleep,2021-07-23 1:10 AM,1h 21m,,,,,
Food,2021-07-23 2:31 AM,0h 4m,Right,,,,
Sleep,2021-07-23 2:33 AM,0h 35m,,,,Poor,
Food,2021-07-23 3:10 AM,0h 7m,Right,,,,
Sleep,2021-07-23 3:45 AM,0h 28m,,,,,
Sleep,2021-07-23 4:40 AM,0h 56m,,,,,
Food,2021-07-23 5:36 AM,0h 8m,Left,,,,
Sleep,2021-07-23 6:00 AM,2h 51m,,,,,
Food,2021-07-23 8:52 AM,0h 8m,Left,,,,
